country,city,latitude,longitude,count,color
DEU,Remptendorf (TH),50.528715,11.659751,20,#1B9E77
USA,Carlstadt (NJ),40.840378,-74.090697,5.125,#D95F02
USA,Texas (various places),33.079122,-96.730983,3.1517857142857144,#D95F02
DEU,Jena (TH),50.927054,11.589237,10.589285714285715,#1B9E77
DEU,Mühlhausen (TH),51.209865,10.4571,3.455357142857143,#1B9E77
GDR,Zwickau,50.710217,12.473372,11.5,#7570B3
USA,Tonawanda (NY),43.020335,-78.880315,3.3035714285714284,#D95F02
DEU,Ribnitz (Mecklenburg),54.252211,12.439749,7.25,#1B9E77
USA,Brenham (TX),30.166883,-96.397744,3.3035714285714284,#D95F02
DEU,Piesau (TH),50.512949,11.21717,5.428571428571429,#1B9E77
USA,Brooklyn (NY),40.678178,-73.944158,9.071428571428571,#D95F02
DEU,Oberweißbach (TH),50.581574,11.142585,8.616071428571429,#1B9E77
DEU,Wismar,53.897942,11.451602,4.821428571428571,#1B9E77
USA,Walhalla (ND),48.923328,-97.918148,3.3035714285714284,#D95F02
AUS,Golden Valley,-41.621177,146.70079,3,#E7298A
DEU,Gräfenroda,50.747635,10.810775,9.223214285714285,#1B9E77
DEU,Leisnig (SA),51.15772,12.928458,5.732142857142858,#1B9E77
DEU,Lobenstein,50.449532,11.64425,3,#1B9E77
USA,New York (NY),40.712784,-74.005941000000007,18.785714285714285,#D95F02
USA,Columbus (OH),39.961176,-82.998794,3,#D95F02
DEU,Munich,48.135125,11.581981,7.857142857142857,#1B9E77
USA,Oskaloosa (IA),41.291673,-92.649359,5.125,#D95F02
USA,Edwardsville (IL),38.811436,-89.953157,3.1517857142857144,#D95F02
USA,Detroit (MI),42.331427,-83.045754,8.616071428571429,#D95F02
DEU,Roda (TH),50.93123,11.016121,4.821428571428571,#1B9E77
DEU,München,48.135125,11.581981,7.857142857142857,#1B9E77
USA,Milwaukee (WI),43.038903,-87.906474,3.455357142857143,#D95F02
DEU,Limbach (SA),50.584022,12.252519,8.464285714285715,#1B9E77
DEU,Nienhagen (Mecklenburg),54.161424,11.953062,3.455357142857143,#1B9E77
DEU,Neubrunn (TH),50.49939,10.468045,4.0625,#1B9E77
USA,Cincinnati (OH),39.103118,-84.51202,3.3035714285714284,#D95F02
USA,Conover (NC),35.706522,-81.218693,3.1517857142857144,#D95F02
USA,Blue Ridge Summit (PA),39.724262,-77.471378,4.821428571428571,#D95F02
USA,Winona (MN),44.055391,-91.666352,3.607142857142857,#D95F02
DEU,Templin,53.116887,13.497969,4.821428571428571,#1B9E77
DEU,Mockethal,50.97178,13.960129,4.366071428571429,#1B9E77
USA,Jersey City (NJ),40.728157,-74.077642,3.607142857142857,#D95F02
USA,San Francisco (CA),37.77493,-122.419416,3.9107142857142856,#D95F02
USA,Oak Grove (WI),43.386106,-88.74566,3,#D95F02
USA,Wilmington (Delaware),39.739072,-75.539788,3.455357142857143,#D95F02
USA,Jacksonville (FL),30.332184,-81.655651,3.1517857142857144,#D95F02
USA,Fernandina (FL),30.332184,-81.655651,3.1517857142857144,#D95F02
USA,Trenton (NJ),40.217053,-74.742938,3.3035714285714284,#D95F02
USA,Amherst,44.450808,-89.284836,4.517857142857142,#D95F02
USA,Pittsburgh (PN),40.440625,-79.995886,3,#D95F02
USA,Lubbock (TX),33.577863,-101.855166,3,#D95F02
USA,Rochester (NY),43.16103,-77.610922,3.455357142857143,#D95F02
USA,Austin (TX),30.267153,-97.743061,3,#D95F02
USA,Maisfeld (near Oskaloosa) (IA),41.291673,-92.649359,5.125,#D95F02
